Label (Grouping),Alabama!!Estimate,Alabama!!Margin of Error,Alaska!!Estimate,Alaska!!Margin of Error,Arizona!!Estimate,Arizona!!Margin of Error,Arkansas!!Estimate,Arkansas!!Margin of Error,California!!Estimate,California!!Margin of Error,Colorado!!Estimate,Colorado!!Margin of Error,Connecticut!!Estimate,Connecticut!!Margin of Error,Delaware!!Estimate,Delaware!!Margin of Error,District of Columbia!!Estimate,District of Columbia!!Margin of Error,Florida!!Estimate,Florida!!Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Hawaii!!Estimate,Hawaii!!Margin of Error,Idaho!!Estimate,Idaho!!Margin of Error,Illinois!!Estimate,Illinois!!Margin of Error,Indiana!!Estimate,Indiana!!Margin of Error,Iowa!!Estimate,Iowa!!Margin of Error,Kansas!!Estimate,Kansas!!Margin of Error,Kentucky!!Estimate,Kentucky!!Margin of Error,Louisiana!!Estimate,Louisiana!!Margin of Error,Maine!!Estimate,Maine!!Margin of Error,Maryland!!Estimate,Maryland!!Margin of Error,Massachusetts!!Estimate,Massachusetts!!Margin of Error,Michigan!!Estimate,Michigan!!Margin of Error,Minnesota!!Estimate,Minnesota!!Margin of Error,Mississippi!!Estimate,Mississippi!!Margin of Error,Missouri!!Estimate,Missouri!!Margin of Error,Montana!!Estimate,Montana!!Margin of Error,Nebraska!!Estimate,Nebraska!!Margin of Error,Nevada!!Estimate,Nevada!!Margin of Error,New Hampshire!!Estimate,New Hampshire!!Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,New Mexico!!Estimate,New Mexico!!Margin of Error,New York!!Estimate,New York!!Margin of Error,North Carolina!!Estimate,North Carolina!!Margin of Error,North Dakota!!Estimate,North Dakota!!Margin of Error,Ohio!!Estimate,Ohio!!Margin of Error,Oklahoma!!Estimate,Oklahoma!!Margin of Error,Oregon!!Estimate,Oregon!!Margin of Error,Pennsylvania!!Estimate,Pennsylvania!!Margin of Error,Rhode Island!!Estimate,Rhode Island!!Margin of Error,South Carolina!!Estimate,South Carolina!!Margin of Error,South Dakota!!Estimate,South Dakota!!Margin of Error,Tennessee!!Estimate,Tennessee!!Margin of Error,Texas!!Estimate,Texas!!Margin of Error,Utah!!Estimate,Utah!!Margin of Error,Vermont!!Estimate,Vermont!!Margin of Error,Virginia!!Estimate,Virginia!!Margin of Error,Washington!!Estimate,Washington!!Margin of Error,West Virginia!!Estimate,West Virginia!!Margin of Error,Wisconsin!!Estimate,Wisconsin!!Margin of Error,Wyoming!!Estimate,Wyoming!!Margin of Error,Puerto Rico!!Estimate,Puerto Rico!!Margin of Error
        Graduate or professional degree,"193,960","±6,955","8,908","±1,514","106,667","±5,693","94,054","±5,985","1,374,906","±18,668","133,459","±5,859","174,212","±6,490","22,617","±2,311","16,447","±2,428","356,694","±11,392","309,406","±10,798","50,564","±2,901","36,499","±2,819","650,105","±14,647","232,340","±7,093","129,268","±5,354","114,538","±5,274","188,357","±7,748","195,606","±9,282","45,365","±3,359","198,137","±8,034","413,789","±9,341","520,336","±9,221","252,990","±7,566","114,395","±6,472","261,548","±9,027","27,511","±2,628","77,477","±4,383","22,532","±2,575","34,747","±2,994","390,603","±10,674","53,705","±3,773","1,306,972","±19,424","280,527","±10,564","24,985","±2,493","587,530","±10,357","123,551","±4,424","96,031","±5,375","703,432","±11,451","45,092","±3,259","151,457","±7,474","25,911","±2,471","203,906","±7,172","899,338","±20,582","114,534","±4,472","18,177","±2,014","236,579","±7,856","205,869","±7,749","66,673","±4,440","243,260","±8,066","11,851","±1,676",,
    Born in other state in the United States:,"1,088,416","±16,994","283,965","±5,353","2,851,797","±17,400","807,724","±11,704","5,033,565","±36,408","2,299,274","±18,987","772,023","±14,333","387,752","±8,590","259,841","±6,795","7,545,314","±36,407","2,998,448","±31,421","286,204","±5,901","741,342","±10,341","1,758,848","±24,614","1,385,752","±18,523","551,412","±12,226","732,664","±10,386","976,471","±14,499","626,025","±14,949","415,064","±9,360","1,717,865","±21,718","1,132,446","±19,072","1,301,220","±15,975","1,063,487","±13,871","593,198","±12,073","1,444,975","±17,217","413,485","±7,163","415,919","±9,939","1,349,568","±13,723","600,221","±8,609","1,698,631","±18,806","614,683","±10,993","1,886,497","±23,742","3,111,411","±29,582","174,811","±6,026","1,821,792","±22,155","1,031,330","±11,610","1,563,399","±15,888","1,995,100","±25,019","252,519","±8,389","1,682,372","±20,169","230,779","±6,338","2,077,368","±23,448","5,331,174","±39,419","735,054","±11,846","246,367","±5,334","2,524,693","±22,859","2,341,893","±25,327","412,368","±9,216","1,113,569","±14,047","237,246","±5,217",,
        Less than high school graduate,"87,317","±4,783","11,193","±1,722","152,741","±8,349","71,777","±4,916","233,305","±8,213","76,627","±5,376","34,495","±3,755","21,309","±2,708","8,924","±1,550","421,988","±13,674","164,764","±8,527","8,293","±1,729","40,296","±3,294","108,337","±5,867","110,141","±5,517","31,886","±2,962","40,899","±3,072","80,724","±4,483","55,317","±4,489","15,460","±2,098","75,194","±5,002","40,415","±3,806","94,948","±4,940","38,905","±3,077","56,284","±4,293","101,564","±5,223","20,410","±2,133","20,582","±2,344","91,508","±5,291","22,409","±2,676","70,346","±5,399","36,095","±3,894","101,702","±5,625","150,319","±7,402","10,156","±1,536","139,102","±5,997","86,940","±4,824","77,654","±5,077","108,039","±7,041","9,274","±1,841","92,647","±5,897","12,366","±2,053","132,615","±5,956","274,456","±10,671","30,139","±3,426","7,579","±1,139","99,571","±4,718","102,200","±5,809","34,479","±2,921","64,929","±3,737","11,966","±2,045",,
        High school graduate (includes equivalency),"272,310","±8,904","65,720","±4,445","635,784","±15,151","252,580","±7,713","772,532","±16,584","374,453","±10,097","141,094","±6,347","98,336","±5,310","17,903","±2,228","1,931,602","±26,009","647,920","±16,519","49,860","±3,489","177,666","±7,566","329,233","±8,744","376,703","±11,186","135,998","±4,724","163,166","±6,358","271,997","±8,353","167,908","±7,792","90,441","±5,002","303,319","±11,590","142,516","±7,390","321,277","±9,120","190,297","±6,480","173,686","±7,162","377,920","±10,135","101,825","±4,824","96,904","±4,628","373,292","±11,498","146,329","±6,078","368,746","±8,845","125,122","±6,593","293,268","±9,271","624,110","±16,286","43,288","±3,226","477,630","±12,623","296,358","±6,294","310,310","±8,766","493,093","±14,748","47,449","±4,100","383,852","±10,876","61,335","±3,572","529,600","±13,764","1,070,577","±21,889","129,684","±5,816","43,500","±3,016","466,197","±13,090","445,703","±12,506","139,272","±6,222","258,802","±8,300","62,588","±4,182",,
        Some college or associate's degree,"334,098","±11,319","103,014","±4,658","984,880","±17,269","257,338","±8,698","1,431,365","±18,220","615,055","±13,418","167,411","±7,766","109,337","±5,906","23,437","±3,067","2,355,587","±25,905","889,391","±16,698","93,712","±4,707","254,904","±7,354","440,422","±13,485","405,365","±12,390","176,291","±6,973","227,013","±7,142","286,407","±7,885","181,278","±7,621","106,994","±4,982","415,835","±12,094","191,402","±8,361","376,138","±10,299","305,706","±8,402","194,030","±7,281","432,739","±10,120","131,074","±5,269","140,644","±5,971","491,291","±12,494","156,934","±6,392","389,017","±11,543","202,682","±7,809","372,340","±10,501","915,716","±20,653","61,768","±4,484","493,096","±12,183","336,510","±7,667","518,954","±11,801","490,898","±13,511","55,654","±4,853","526,278","±15,194","75,993","±3,990","628,068","±15,644","1,676,059","±28,164","239,897","±9,032","58,316","±3,505","630,632","±11,762","763,678","±16,568","116,448","±4,997","334,617","±8,589","87,312","±4,771",,
        Bachelor's degree,"231,449","±9,212","64,373","±4,660","667,332","±11,725","139,440","±6,312","1,474,743","±24,348","761,453","±13,392","221,359","±8,022","88,846","±5,640","82,395","±4,456","1,737,328","±24,242","773,518","±16,405","72,104","±3,882","176,957","±7,278","495,492","±14,324","299,272","±8,698","127,913","±5,773","181,697","±6,115","200,661","±9,572","129,607","±6,605","116,069","±5,876","460,536","±10,649","364,654","±10,514","286,750","±9,046","318,202","±8,154","105,532","±5,913","315,846","±9,099","101,282","±4,739","94,607","±4,452","248,701","±8,945","160,818","±6,323","490,708","±13,016","131,315","±5,275","625,129","±13,604","873,222","±15,938","40,931","±3,600","401,617","±9,857","196,203","±5,682","387,769","±10,986","489,402","±12,969","78,464","±5,834","412,680","±10,890","51,307","±3,917","489,203","±14,168","1,438,890","±23,121","214,421","±6,971","70,846","±3,876","699,677","±14,710","613,440","±12,542","72,887","±4,381","275,274","±7,126","43,801","±3,337",,
        Graduate or professional degree,"163,242","±6,668","39,665","±3,617","411,060","±10,679","86,589","±5,764","1,121,620","±15,143","471,686","±10,824","207,664","±8,033","69,924","±4,146","127,182","±5,319","1,098,809","±16,744","522,855","±13,743","62,235","±3,991","91,519","±4,771","385,364","±10,633","194,271","±8,033","79,324","±3,756","119,889","±5,424","136,682","±5,785","91,915","±6,333","86,100","±5,667","462,981","±11,599","393,459","±10,939","222,107","±7,992","210,377","±6,310","63,666","±4,292","216,906","±6,932","58,894","±4,247","63,182","±4,191","144,776","±6,867","113,731","±4,742","379,814","±10,125","119,469","±5,260","494,058","±11,646","548,044","±16,045","18,668","±2,062","310,347","±9,661","115,319","±5,066","268,712","±8,719","413,668","±10,536","61,678","±4,864","266,915","±9,594","29,778","±2,748","297,882","±9,916","871,192","±19,750","120,913","±5,829","66,126","±3,940","628,616","±12,790","416,872","±9,844","49,282","±4,086","179,947","±6,066","31,579","±3,334",,
    Native; born outside the United States:,"36,993","±3,557","12,674","±2,409","80,855","±5,687","17,730","±2,760","400,723","±13,777","73,028","±4,756","113,958","±6,490","13,827","±2,090","9,613","±1,925","667,143","±18,040","122,772","±6,886","29,510","±2,913","13,916","±1,952","111,040","±6,943","36,000","±3,414","12,733","±2,066","22,938","±2,896","25,803","±2,556","22,990","±3,003","11,257","±1,653","71,499","±5,240","148,394","±7,080","55,117","±4,542","32,254","±2,930","14,163","±2,305","37,427","±3,322","7,658","±1,528","11,869","±1,643","49,067","±5,617","12,148","±1,771","166,875","±7,954","20,376","±2,317","385,232","±13,121","108,430","±6,596","7,506","±1,646","83,552","±5,390","29,677","±2,220","39,628","±3,443","176,991","±8,776","23,018","±3,782","49,067","±4,241","5,449","±1,258","52,787","±4,110","332,817","±12,483","24,093","±3,016","5,091","±1,088","131,715","±7,484","113,910","±7,106","7,808","±1,368","40,419","±3,384","3,682","±1,043",,
        Less than high school graduate,"2,533",±968,642,±356,"7,164","±1,601","1,320",±691,"48,810","±5,046","3,376","±1,126","27,824","±3,229","2,116",±942,54,±91,"79,962","±6,806","7,679","±1,657","2,196",±710,754,±460,"23,223","±3,370","3,352","±1,099",915,±527,966,±515,"1,663",±569,"1,384",±566,137,±132,"5,693","±1,532","40,400","±4,227","7,292","±1,680","2,723",±947,"1,257",±557,"3,891","±1,051",814,±499,658,±338,"6,360","±1,574",995,±505,"41,551","±4,368","1,077",±590,"96,684","±6,506","8,889","±1,899",696,±564,"11,582","±2,119","2,457",±708,"2,490","±1,002","42,497","±4,341","5,400","±1,460","3,632","±1,317",296,±276,"2,477",±815,"37,968","±4,906",976,±477,456,±415,"6,667","±1,547","9,023","±2,368",873,±496,"5,633","±1,731",226,±208,,
        High school graduate (includes equivalency),"6,901","±1,664","3,831","±1,493","17,177","±3,100","5,621","±1,642","70,387","±5,403","11,999","±2,486","34,214","±4,077","4,929","±1,392",264,±202,"175,374","±10,731","29,102","±3,177","5,943","±1,275","2,832",±974,"21,826","±2,325","10,729","±2,145","3,681","±1,022","5,542","±1,413","5,213","±1,043","5,658","±1,542","2,459",±675,"10,897","±1,820","43,792","±3,774","12,412","±1,672","7,371","±1,749","4,287","±1,266","9,762","±1,994","1,770",±654,"2,849","±1,080","12,992","±2,379","2,733",±873,"45,708","±4,448","4,151","±1,382","99,747","±7,028","23,431","±3,152","2,612",±974,"21,554","±3,023","9,541","±1,458","8,600","±1,544","53,143","±5,813","8,464","±2,353","12,291","±2,286",823,±418,"13,685","±2,280","66,090","±5,831","3,788","±1,112",916,±424,"20,822","±2,663","19,470","±2,666","1,657",±620,"11,547","±2,081",842,±561,,
