Area,Week,Number - Total Housing Insecurity (Missed Payment or Low Confidence),Margin of Error +/-,Percent - Percent Housing Insecurity (Missed Payment or Low Confidence),Percent Margin of Error +/-,Measure Universe,Total Population age 18+
Massachusetts,"11 - July 9-14, 2020",806773,137733,21.2,3.6,3807779,"5,324,065"
Michigan,"11 - July 9-14, 2020",1236656,203064,23.6,3.7,5236814,"7,644,458"
Minnesota,"11 - July 9-14, 2020",468345,80508,16.1,2.8,2906296,"4,241,624"
Mississippi,"11 - July 9-14, 2020",445863,72220,33.9,5,1313874,"2,189,670"
Missouri,"11 - July 9-14, 2020",796702,132906,24.2,3.9,3295283,"4,617,880"
Montana,"11 - July 9-14, 2020",99342,23551,18.1,4,549684,"822,204"
Nebraska,"11 - July 9-14, 2020",231634,35783,23.2,3.6,999344,"1,418,191"
Nevada,"11 - July 9-14, 2020",517143,71227,28.1,3.9,1841964,"2,399,457"
New Hampshire,"11 - July 9-14, 2020",138492,39594,19.5,5.5,711557,"1,073,014"
New Jersey,"11 - July 9-14, 2020",1270764,202219,29,4.1,4386368,"6,776,822"
New Mexico,"11 - July 9-14, 2020",355836,56122,33.1,5.1,1073929,"1,589,574"
New York,"11 - July 9-14, 2020",3327655,420784,32.8,3.4,10142400,"14,847,080"
North Carolina,"11 - July 9-14, 2020",1317637,245354,24.3,4.5,5411552,"8,017,566"
North Dakota,"11 - July 9-14, 2020",93315,25060,27.1,7.3,344753,"561,016"
Ohio,"11 - July 9-14, 2020",1699086,309141,30.1,4.6,5647993,"8,822,539"
Oklahoma,"11 - July 9-14, 2020",513267,90482,27.3,4.3,1878958,"2,916,436"
Oregon,"11 - July 9-14, 2020",397346,73236,16.3,2.8,2430502,"3,302,727"
Pennsylvania,"11 - July 9-14, 2020",1103641,187164,17.4,3.2,6327528,"9,776,154"
Rhode Island,"11 - July 9-14, 2020",140529,28478,24.5,4.7,573815,"817,559"
South Carolina,"11 - July 9-14, 2020",743353,127904,29,4.4,2563772,"3,969,123"
South Dakota,"11 - July 9-14, 2020",97515,22182,22.7,5,429315,"642,658"
Tennessee,"11 - July 9-14, 2020",1096675,144114,30.6,3.8,3588908,"5,221,475"
Texas,"11 - July 9-14, 2020",4562581,503683,32.1,3.5,14214607,"21,356,906"
Utah,"11 - July 9-14, 2020",231212,56425,13.4,3.2,1730812,"2,281,207"
Vermont,"11 - July 9-14, 2020",44913,11974,13.7,3.7,328424,"485,485"
Virginia,"11 - July 9-14, 2020",1097578,164842,24.1,3.1,4548065,"6,472,737"
Washington,"11 - July 9-14, 2020",645716,116617,15,2.8,4318899,"5,890,357"
West Virginia,"11 - July 9-14, 2020",249044,47473,28.9,4.6,861320,"1,379,576"
Wisconsin,"11 - July 9-14, 2020",610815,115231,18.6,3.6,3288250,"4,438,719"
Wyoming,"11 - July 9-14, 2020",57410,13572,20.1,4.4,286235,"433,400"
Alabama,"10 - July 2-7, 2020",831363,139771,33.6,5.1,2474222,"3,717,378"
Alaska,"10 - July 2-7, 2020",75494,13461,20.5,3.5,367745,"524,925"
Arizona,"10 - July 2-7, 2020",715224,127068,18.3,3,3903952,"5,597,268"
Arkansas,"10 - July 2-7, 2020",471194,75020,32.3,4.7,1457606,"2,246,527"
California,"10 - July 2-7, 2020",5734149,441667,25.9,1.9,22159149,"29,939,021"
Colorado,"10 - July 2-7, 2020",552896,110000,17,3.4,3251271,"4,454,718"
Connecticut,"10 - July 2-7, 2020",504996,86444,25.3,4.4,1992107,"2,732,423"
Delaware,"10 - July 2-7, 2020",69846,21434,14.3,4.2,489486,"754,637"
District of Columbia,"10 - July 2-7, 2020",70973,22671,16.5,4.7,429292,"542,635"
Florida,"10 - July 2-7, 2020",3619180,359753,30.8,3,11737325,"17,085,385"
Georgia,"10 - July 2-7, 2020",1822597,259640,32.6,4.3,5595658,"7,955,983"
Hawaii,"10 - July 2-7, 2020",192874,33074,26.7,4,721804,"1,073,229"
Idaho,"10 - July 2-7, 2020",154654,31328,17.9,3.5,866383,"1,343,198"
Illinois,"10 - July 2-7, 2020",1505081,332107,23.8,4.6,6315249,"9,546,424"
Indiana,"10 - July 2-7, 2020",824351,131521,24,3.6,3433356,"5,015,550"
Iowa,"10 - July 2-7, 2020",356236,67585,24.2,5,1471346,"2,342,905"
Kansas,"10 - July 2-7, 2020",246146,56023,16.5,3.8,1493437,"2,140,957"
Kentucky,"10 - July 2-7, 2020",548852,97367,26.3,4.5,2085151,"3,344,102"
Louisiana,"10 - July 2-7, 2020",752969,129887,35.1,5.3,2144681,"3,431,432"
Maine,"10 - July 2-7, 2020",80396,18465,12.3,2.8,651430,"1,065,620"
Maryland,"10 - July 2-7, 2020",962061,130229,27.3,3.5,3519930,"4,586,920"
Massachusetts,"10 - July 2-7, 2020",579589,130474,15.6,3.3,3717750,"5,324,065"
Michigan,"10 - July 2-7, 2020",918772,138927,18.4,2.7,4992128,"7,644,458"
Minnesota,"10 - July 2-7, 2020",362947,70926,12.6,2.4,2889879,"4,241,624"
Mississippi,"10 - July 2-7, 2020",447988,81398,37.1,7.1,1207475,"2,189,670"
Missouri,"10 - July 2-7, 2020",725828,131532,21.9,3.8,3316972,"4,617,880"
Montana,"10 - July 2-7, 2020",71263,19338,13.5,3.5,528561,"822,204"
Nebraska,"10 - July 2-7, 2020",179563,41625,18.8,4.2,956062,"1,418,191"
Nevada,"10 - July 2-7, 2020",536702,83061,29.2,4.5,1836736,"2,399,457"
New Hampshire,"10 - July 2-7, 2020",109922,27321,15.7,3.9,701692,"1,073,014"
New Jersey,"10 - July 2-7, 2020",1370672,194206,28.5,3.9,4812741,"6,776,822"
New Mexico,"10 - July 2-7, 2020",322681,62564,29.5,5.1,1093084,"1,589,574"
New York,"10 - July 2-7, 2020",3347939,344639,32,2.9,10468652,"14,847,080"
North Carolina,"10 - July 2-7, 2020",1299509,248812,23.8,4,5452833,"8,017,566"
North Dakota,"10 - July 2-7, 2020",57957,17835,18.9,5.6,306357,"561,016"
Ohio,"10 - July 2-7, 2020",1488685,246521,24.3,4.2,6115397,"8,822,539"
Oklahoma,"10 - July 2-7, 2020",456446,86983,23.4,4.1,1950240,"2,916,436"
Oregon,"10 - July 2-7, 2020",435713,74055,18.2,3.1,2398438,"3,302,727"
Pennsylvania,"10 - July 2-7, 2020",1564220,239022,24.4,3.4,6403292,"9,776,154"
Rhode Island,"10 - July 2-7, 2020",121869,24062,20.8,3.9,585097,"817,559"
South Carolina,"10 - July 2-7, 2020",502975,95565,20.4,3.6,2466469,"3,969,123"
South Dakota,"10 - July 2-7, 2020",121552,28100,30.3,6.3,401034,"642,658"
Tennessee,"10 - July 2-7, 2020",1079816,144704,31.3,4,3448045,"5,221,475"
Texas,"10 - July 2-7, 2020",4249365,359730,29.8,2.5,14261061,"21,356,906"
Utah,"10 - July 2-7, 2020",389511,79899,23,4.3,1697119,"2,281,207"
Vermont,"10 - July 2-7, 2020",52313,14442,16.4,4.1,319910,"485,485"
Virginia,"10 - July 2-7, 2020",913670,155887,20.2,3.2,4530322,"6,472,737"
Washington,"10 - July 2-7, 2020",785308,138939,18.7,3.2,4195771,"5,890,357"
West Virginia,"10 - July 2-7, 2020",235930,43536,30.2,5.4,780255,"1,379,576"
Wisconsin,"10 - July 2-7, 2020",481001,91017,16.1,2.9,2980178,"4,438,719"
Wyoming,"10 - July 2-7, 2020",72106,16672,24.1,5.8,299406,"433,400"
Alabama,"9 - June 25-30, 2020",549896,88575,22.4,3.3,2458715,"3,717,378"
Alaska,"9 - June 25-30, 2020",85207,17284,23.5,4.2,361823,"524,925"
Arizona,"9 - June 25-30, 2020",982342,161024,25,3.8,3935931,"5,597,268"
Arkansas,"9 - June 25-30, 2020",357853,70715,23.5,4.5,1522964,"2,246,527"
California,"9 - June 25-30, 2020",6041907,544616,26.8,2.3,22554065,"29,939,021"
Colorado,"9 - June 25-30, 2020",663386,123124,20.3,3.6,3272689,"4,454,718"
Connecticut,"9 - June 25-30, 2020",540102,72959,28,3.7,1931801,"2,732,423"
Delaware,"9 - June 25-30, 2020",116534,18745,22.7,3.7,513215,"754,637"
District of Columbia,"9 - June 25-30, 2020",95382,24845,21.8,5.2,437762,"542,635"
Florida,"9 - June 25-30, 2020",3779963,425052,32.3,3.5,11714451,"17,085,385"
Georgia,"9 - June 25-30, 2020",1759972,266392,31.6,4.1,5571830,"7,955,983"
Hawaii,"9 - June 25-30, 2020",233472,41922,29.1,5.6,803370,"1,073,229"
Idaho,"9 - June 25-30, 2020",145449,31756,15.8,3.3,921924,"1,343,198"
Illinois,"9 - June 25-30, 2020",1563506,228268,22.9,3.3,6838815,"9,546,424"
Indiana,"9 - June 25-30, 2020",1017946,142032,29.3,4.2,3476390,"5,015,550"
Iowa,"9 - June 25-30, 2020",231831,59452,14.6,3.6,1587615,"2,342,905"
Kansas,"9 - June 25-30, 2020",311049,58811,22.7,4.1,1371557,"2,140,957"
Kentucky,"9 - June 25-30, 2020",497679,82031,22.6,3.6,2198236,"3,344,102"
Louisiana,"9 - June 25-30, 2020",725319,104616,32.7,4.3,2219667,"3,431,432"
Maine,"9 - June 25-30, 2020",163667,43211,22.1,5.3,740096,"1,065,620"
Maryland,"9 - June 25-30, 2020",979251,149294,28.8,4.2,3404633,"4,586,920"
Massachusetts,"9 - June 25-30, 2020",869460,145303,22.3,3.6,3891102,"5,324,065"
Michigan,"9 - June 25-30, 2020",1114548,191800,22.2,3.7,5029769,"7,644,458"
Minnesota,"9 - June 25-30, 2020",490990,109507,16,3.4,3068514,"4,241,624"
Mississippi,"9 - June 25-30, 2020",495771,80947,38.3,4.9,1294209,"2,189,670"
Missouri,"9 - June 25-30, 2020",923316,153575,29.7,4.7,3108352,"4,617,880"
Montana,"9 - June 25-30, 2020",95915,20154,16.9,3.4,569171,"822,204"
Nebraska,"9 - June 25-30, 2020",179580,35794,18.5,3.7,969052,"1,418,191"
Nevada,"9 - June 25-30, 2020",530963,94162,28.2,4.7,1885495,"2,399,457"
New Hampshire,"9 - June 25-30, 2020",108760,21339,15.7,3,693914,"1,073,014"
New Jersey,"9 - June 25-30, 2020",1321467,209905,28.7,4.1,4599206,"6,776,822"
New Mexico,"9 - June 25-30, 2020",182386,32431,20,3.3,913047,"1,589,574"
New York,"9 - June 25-30, 2020",3532322,488485,36.7,4.6,9632784,"14,847,080"
North Carolina,"9 - June 25-30, 2020",1248578,199026,23.2,3.2,5392531,"8,017,566"
North Dakota,"9 - June 25-30, 2020",72479,18913,20.8,5.4,348813,"561,016"
Ohio,"9 - June 25-30, 2020",1006796,183846,16.9,3.2,5967028,"8,822,539"
Oklahoma,"9 - June 25-30, 2020",463191,73452,23,3.8,2013956,"2,916,436"
Oregon,"9 - June 25-30, 2020",413920,88534,16.9,3.6,2447003,"3,302,727"
Pennsylvania,"9 - June 25-30, 2020",1154571,200268,18.3,3.1,6292269,"9,776,154"
Rhode Island,"9 - June 25-30, 2020",124468,26401,22.9,4.6,542682,"817,559"
South Carolina,"9 - June 25-30, 2020",692665,119434,27.6,4.5,2512799,"3,969,123"
South Dakota,"9 - June 25-30, 2020",87841,22056,21.8,5.1,402336,"642,658"
Tennessee,"9 - June 25-30, 2020",1025677,147496,31.2,4.2,3289259,"5,221,475"
Texas,"9 - June 25-30, 2020",4537882,412100,33.2,2.7,13677607,"21,356,906"
Utah,"9 - June 25-30, 2020",304842,47194,18,2.7,1697420,"2,281,207"
Vermont,"9 - June 25-30, 2020",43607,10257,14.1,3.1,308222,"485,485"
Virginia,"9 - June 25-30, 2020",887009,172173,19,3.5,4670403,"6,472,737"
Washington,"9 - June 25-30, 2020",900497,163579,20.6,3.5,4372380,"5,890,357"
West Virginia,"9 - June 25-30, 2020",249012,58784,29.4,6.1,845790,"1,379,576"
Wisconsin,"9 - June 25-30, 2020",509056,132886,16.6,4.5,3057930,"4,438,719"
Wyoming,"9 - June 25-30, 2020",44720,15982,15.7,5.6,285059,"433,400"
Alabama,"8 - June 18-23, 2020",602861,118927,24.3,4.8,2479270,"3,717,378"
Alaska,"8 - June 18-23, 2020",68055,13729,18.2,3.5,374171,"524,925"
Arizona,"8 - June 18-23, 2020",783439,140790,20.7,3.6,3788754,"5,597,268"
Arkansas,"8 - June 18-23, 2020",339758,69026,23.7,4.5,1433013,"2,246,527"
California,"8 - June 18-23, 2020",6396179,558960,28.9,2.6,22095196,"29,939,021"
Colorado,"8 - June 18-23, 2020",563091,126102,16.8,3.7,3345428,"4,454,718"
Connecticut,"8 - June 18-23, 2020",488991,66996,24.2,3.4,2016682,"2,732,423"
Delaware,"8 - June 18-23, 2020",91021,21445,18.4,4.1,494938,"754,637"
District of Columbia,"8 - June 18-23, 2020",61761,17984,14.6,4,423794,"542,635"
Florida,"8 - June 18-23, 2020",3446946,404429,31.1,3.3,11090115,"17,085,385"
Georgia,"8 - June 18-23, 2020",1651843,224485,28.9,3.6,5719858,"7,955,983"
Hawaii,"8 - June 18-23, 2020",164881,33125,22.2,4.5,744156,"1,073,229"
Idaho,"8 - June 18-23, 2020",147037,29987,14.8,3.2,992535,"1,343,198"
Illinois,"8 - June 18-23, 2020",1592300,320436,24,4.4,6623278,"9,546,424"
Indiana,"8 - June 18-23, 2020",739277,116668,20.6,3.4,3587776,"5,015,550"
Iowa,"8 - June 18-23, 2020",288136,58366,18.8,4,1529056,"2,342,905"
Kansas,"8 - June 18-23, 2020",194589,37409,13.5,2.7,1437866,"2,140,957"
Kentucky,"8 - June 18-23, 2020",410945,92402,19.7,4.5,2085947,"3,344,102"
Louisiana,"8 - June 18-23, 2020",684183,87083,31.2,3.6,2191123,"3,431,432"
Maine,"8 - June 18-23, 2020",134224,29470,18.2,3.8,737682,"1,065,620"
Maryland,"8 - June 18-23, 2020",909782,154000,27.5,4.2,3305267,"4,586,920"
Massachusetts,"8 - June 18-23, 2020",664601,108549,17.4,2.9,3817024,"5,324,065"
Michigan,"8 - June 18-23, 2020",822360,121406,17.3,2.4,4764964,"7,644,458"
Minnesota,"8 - June 18-23, 2020",392852,88694,13.1,2.9,3007831,"4,241,624"
Mississippi,"8 - June 18-23, 2020",454130,88050,37.8,5.4,1201645,"2,189,670"
Missouri,"8 - June 18-23, 2020",649379,125769,21.1,4.1,3084128,"4,617,880"
Montana,"8 - June 18-23, 2020",89080,19763,16.3,3.6,546623,"822,204"
Nebraska,"8 - June 18-23, 2020",183648,39906,19.8,4.3,927185,"1,418,191"
Nevada,"8 - June 18-23, 2020",597006,65999,32.9,3.6,1814194,"2,399,457"
New Hampshire,"8 - June 18-23, 2020",105169,31808,14.9,4.1,707138,"1,073,014"
New Jersey,"8 - June 18-23, 2020",1392612,181194,30.1,3.8,4629448,"6,776,822"
New Mexico,"8 - June 18-23, 2020",215172,45341,21.3,4.7,1012000,"1,589,574"
New York,"8 - June 18-23, 2020",3141558,413852,30.6,3.7,10250058,"14,847,080"
North Carolina,"8 - June 18-23, 2020",1366974,235009,25.8,3.8,5297212,"8,017,566"
North Dakota,"8 - June 18-23, 2020",95514,24956,24.3,6.3,392957,"561,016"
Ohio,"8 - June 18-23, 2020",1384872,234460,24.3,3.8,5695109,"8,822,539"
Oklahoma,"8 - June 18-23, 2020",427227,80991,22.5,4,1900614,"2,916,436"
Oregon,"8 - June 18-23, 2020",434036,82791,17.3,3.3,2504837,"3,302,727"
Pennsylvania,"8 - June 18-23, 2020",1603967,217439,23.9,3.1,6716800,"9,776,154"
Rhode Island,"8 - June 18-23, 2020",122289,22947,21.8,4.3,561060,"817,559"
South Carolina,"8 - June 18-23, 2020",478807,97672,20,4.3,2388266,"3,969,123"
South Dakota,"8 - June 18-23, 2020",87949,19313,19.2,4.1,456889,"642,658"
Tennessee,"8 - June 18-23, 2020",968988,186136,27.3,4.7,3553579,"5,221,475"
Texas,"8 - June 18-23, 2020",4034189,390533,28.4,2.7,14225360,"21,356,906"
Utah,"8 - June 18-23, 2020",244733,49948,14.4,3,1704842,"2,281,207"
Vermont,"8 - June 18-23, 2020",40704,11798,13.4,3.6,304371,"485,485"
Virginia,"8 - June 18-23, 2020",754249,128480,16.2,2.8,4669680,"6,472,737"
Washington,"8 - June 18-23, 2020",596780,114206,14.8,2.8,4025196,"5,890,357"
West Virginia,"8 - June 18-23, 2020",176869,49769,21.4,5.5,827747,"1,379,576"
Wisconsin,"8 - June 18-23, 2020",503888,90255,16.5,3,3062712,"4,438,719"
Wyoming,"8 - June 18-23, 2020",47874,16244,16,5.4,298495,"433,400"
Alabama,"7 - June 11-16, 2020",608139,113542,25.7,4.4,2362397,"3,717,378"
Alaska,"7 - June 11-16, 2020",69875,20939,18.2,5.2,383195,"524,925"
Arizona,"7 - June 11-16, 2020",873155,156274,21.9,3.9,3989752,"5,597,268"
Arkansas,"7 - June 11-16, 2020",409865,74623,29.1,4.5,1406971,"2,246,527"
California,"7 - June 11-16, 2020",5005090,614484,23,2.8,21730911,"29,939,021"
Colorado,"7 - June 11-16, 2020",567846,124582,16.3,3.4,3484860,"4,454,718"
Connecticut,"7 - June 11-16, 2020",336285,76726,17.3,4,1946918,"2,732,423"
Delaware,"7 - June 11-16, 2020",80529,19776,15.7,4.1,512437,"754,637"
District of Columbia,"7 - June 11-16, 2020",85791,21519,18.9,4.7,453921,"542,635"
Florida,"7 - June 11-16, 2020",3810039,402415,34.3,3.4,11118801,"17,085,385"
Georgia,"7 - June 11-16, 2020",1301930,253675,22.8,4.4,5719414,"7,955,983"
Hawaii,"7 - June 11-16, 2020",156899,34886,19.7,4.5,795354,"1,073,229"
Idaho,"7 - June 11-16, 2020",154953,33387,16.1,3.5,964578,"1,343,198"
Illinois,"7 - June 11-16, 2020",1639483,215912,25.5,3.3,6422456,"9,546,424"
Indiana,"7 - June 11-16, 2020",662853,139002,20.1,4,3291514,"5,015,550"
Iowa,"7 - June 11-16, 2020",294708,86015,19.1,5.2,1539046,"2,342,905"
Kansas,"7 - June 11-16, 2020",202676,65245,15.4,4.7,1318898,"2,140,957"
Kentucky,"7 - June 11-16, 2020",398741,84268,18.6,3.7,2141945,"3,344,102"
Louisiana,"7 - June 11-16, 2020",644550,133027,30.8,5.9,2092562,"3,431,432"
Maine,"7 - June 11-16, 2020",81958,27175,11.8,3.8,694806,"1,065,620"
Maryland,"7 - June 11-16, 2020",932574,137937,27.7,3.7,3370358,"4,586,920"
Massachusetts,"7 - June 11-16, 2020",614828,118038,17,3.1,3620676,"5,324,065"
Michigan,"7 - June 11-16, 2020",940160,180433,18.9,3.4,4980500,"7,644,458"
Minnesota,"7 - June 11-16, 2020",375016,101373,12.9,3.4,2911413,"4,241,624"
Mississippi,"7 - June 11-16, 2020",451273,103966,34.1,6.7,1323046,"2,189,670"
Missouri,"7 - June 11-16, 2020",773048,145130,24.3,4,3174956,"4,617,880"
Montana,"7 - June 11-16, 2020",113121,24637,21.1,4.3,537362,"822,204"
Nebraska,"7 - June 11-16, 2020",167338,37227,16.8,3.5,997576,"1,418,191"
Nevada,"7 - June 11-16, 2020",574354,82093,30.9,3.8,1856226,"2,399,457"
New Hampshire,"7 - June 11-16, 2020",75827,20013,10.6,2.7,718604,"1,073,014"
New Jersey,"7 - June 11-16, 2020",1125115,240909,23.8,4.9,4736982,"6,776,822"
New Mexico,"7 - June 11-16, 2020",257540,59836,24.6,5.4,1047934,"1,589,574"
New York,"7 - June 11-16, 2020",2704631,384398,26.7,3.6,10146479,"14,847,080"
North Carolina,"7 - June 11-16, 2020",1222474,191522,23.1,3.5,5289981,"8,017,566"
North Dakota,"7 - June 11-16, 2020",67490,26504,18.9,6.9,357480,"561,016"
Ohio,"7 - June 11-16, 2020",1066676,241868,17.5,3.9,6081752,"8,822,539"
Oklahoma,"7 - June 11-16, 2020",391497,67081,20.1,3.3,1950503,"2,916,436"
Oregon,"7 - June 11-16, 2020",554884,139799,22.2,5.1,2503405,"3,302,727"
Pennsylvania,"7 - June 11-16, 2020",1282628,234180,20.9,3.5,6127459,"9,776,154"
Rhode Island,"7 - June 11-16, 2020",98673,23564,16.3,3.8,604971,"817,559"
South Carolina,"7 - June 11-16, 2020",539022,150295,23,5.5,2342271,"3,969,123"
South Dakota,"7 - June 11-16, 2020",73043,27819,19.6,6.5,373157,"642,658"
Tennessee,"7 - June 11-16, 2020",912567,223729,25.7,5.7,3556010,"5,221,475"
Texas,"7 - June 11-16, 2020",4194667,503206,29.2,3,14383088,"21,356,906"
Utah,"7 - June 11-16, 2020",194510,52191,12.2,3.1,1599601,"2,281,207"
Vermont,"7 - June 11-16, 2020",73707,27012,23,8.2,320190,"485,485"
Virginia,"7 - June 11-16, 2020",938519,174170,20.5,3.6,4568074,"6,472,737"
Washington,"7 - June 11-16, 2020",520240,130027,12.5,3.1,4167784,"5,890,357"
West Virginia,"7 - June 11-16, 2020",199883,67510,21.5,6.9,931551,"1,379,576"
Wisconsin,"7 - June 11-16, 2020",514226,129069,17.9,4.3,2874588,"4,438,719"
Wyoming,"7 - June 11-16, 2020",61132,21673,21.2,6.9,287795,"433,400"
Alabama,"6 - June 4-9, 2020",549975,112337,22.6,4.4,2432621,"3,717,378"
Alaska,"6 - June 4-9, 2020",76896,16561,22.6,4.7,340081,"524,925"
Arizona,"6 - June 4-9, 2020",649675,111941,18,2.9,3605539,"5,597,268"
Arkansas,"6 - June 4-9, 2020",329231,77361,24.9,5.4,1324795,"2,246,527"
California,"6 - June 4-9, 2020",5084197,601556,24,2.7,21209930,"29,939,021"
Colorado,"6 - June 4-9, 2020",493778,124299,16,3.8,3093445,"4,454,718"
Connecticut,"6 - June 4-9, 2020",285454,90151,15.9,5,1791067,"2,732,423"
Delaware,"6 - June 4-9, 2020",120728,20588,24.7,4.4,488293,"754,637"
District of Columbia,"6 - June 4-9, 2020",72763,21709,17.2,4.8,423658,"542,635"
Florida,"6 - June 4-9, 2020",3186070,352731,29.5,3.1,10784261,"17,085,385"
Georgia,"6 - June 4-9, 2020",1580140,241983,28.4,4.1,5556844,"7,955,983"
Hawaii,"6 - June 4-9, 2020",128233,25634,19.1,3.7,672905,"1,073,229"
Idaho,"6 - June 4-9, 2020",128243,28107,14.5,3.1,883988,"1,343,198"
Illinois,"6 - June 4-9, 2020",1388888,239697,24,3.9,5794530,"9,546,424"
Indiana,"6 - June 4-9, 2020",563731,106549,17.6,3.4,3201304,"5,015,550"
Iowa,"6 - June 4-9, 2020",293087,83511,21.2,5.4,1381904,"2,342,905"
Kansas,"6 - June 4-9, 2020",232106,43588,16.3,2.8,1423819,"2,140,957"
Kentucky,"6 - June 4-9, 2020",476039,97812,22.9,4.6,2081367,"3,344,102"
Louisiana,"6 - June 4-9, 2020",580819,83913,28.7,4.2,2023752,"3,431,432"
Maine,"6 - June 4-9, 2020",117367,28968,18.4,4,639246,"1,065,620"
Maryland,"6 - June 4-9, 2020",742513,117698,23.7,3.5,3134374,"4,586,920"
Massachusetts,"6 - June 4-9, 2020",541426,103682,14.9,2.6,3645535,"5,324,065"
Michigan,"6 - June 4-9, 2020",839109,174189,17.5,3.7,4788807,"7,644,458"
Minnesota,"6 - June 4-9, 2020",305084,77658,10.7,2.7,2862877,"4,241,624"
Mississippi,"6 - June 4-9, 2020",343577,65522,30.1,5.2,1141685,"2,189,670"
Missouri,"6 - June 4-9, 2020",617763,167349,21.5,5.3,2869640,"4,617,880"
Montana,"6 - June 4-9, 2020",63550,15907,13.5,3.1,469702,"822,204"
Nebraska,"6 - June 4-9, 2020",131511,42607,14,4.5,937363,"1,418,191"
Nevada,"6 - June 4-9, 2020",473973,67485,28.3,3.6,1676675,"2,399,457"
New Hampshire,"6 - June 4-9, 2020",80685,32975,11.1,4.6,726862,"1,073,014"
New Jersey,"6 - June 4-9, 2020",1057641,236996,24.4,4.9,4336424,"6,776,822"
New Mexico,"6 - June 4-9, 2020",187502,48250,19.3,4.7,973816,"1,589,574"
New York,"6 - June 4-9, 2020",2859884,439347,30.8,4,9297847,"14,847,080"
North Carolina,"6 - June 4-9, 2020",865298,169964,17.1,3.1,5060088,"8,017,566"
North Dakota,"6 - June 4-9, 2020",64997,19035,18.4,5,353891,"561,016"
Ohio,"6 - June 4-9, 2020",958094,287956,15.4,4.5,6235124,"8,822,539"
Oklahoma,"6 - June 4-9, 2020",324605,59966,18.3,3.3,1769488,"2,916,436"
Oregon,"6 - June 4-9, 2020",326371,70447,14,3.1,2332294,"3,302,727"
Pennsylvania,"6 - June 4-9, 2020",1005559,199967,17.1,3.2,5888946,"9,776,154"
Rhode Island,"6 - June 4-9, 2020",93164,22990,16.5,4.2,564525,"817,559"
South Carolina,"6 - June 4-9, 2020",596692,139451,26.7,5.6,2235906,"3,969,123"
South Dakota,"6 - June 4-9, 2020",84643,24328,23.1,6,366472,"642,658"
Tennessee,"6 - June 4-9, 2020",723744,163947,22,4.6,3289296,"5,221,475"
Texas,"6 - June 4-9, 2020",3853578,430035,29.5,3,13057656,"21,356,906"
Utah,"6 - June 4-9, 2020",260428,56171,16.4,3.4,1592311,"2,281,207"
Vermont,"6 - June 4-9, 2020",41374,13907,12.7,4.2,326599,"485,485"
Virginia,"6 - June 4-9, 2020",611417,160223,14.8,3.5,4118539,"6,472,737"
Washington,"6 - June 4-9, 2020",638183,119943,15,2.8,4256851,"5,890,357"
West Virginia,"6 - June 4-9, 2020",198988,60579,26,7.7,766538,"1,379,576"
Wisconsin,"6 - June 4-9, 2020",391291,84322,12.9,2.6,3043711,"4,438,719"
Wyoming,"6 - June 4-9, 2020",33750,10690,12.2,3.5,277553,"433,400"
Alabama,"5 - May 28-June 2, 2020",538175,90797,22.9,3.9,2354106,"3,717,378"
Alaska,"5 - May 28-June 2, 2020",57478,10865,16.4,3,349663,"524,925"
Arizona,"5 - May 28-June 2, 2020",747257,124465,19.7,3.3,3801273,"5,597,268"
Arkansas,"5 - May 28-June 2, 2020",367381,58694,25.8,3.9,1425721,"2,246,527"
California,"5 - May 28-June 2, 2020",5766166,665805,27.3,2.9,21121603,"29,939,021"
Colorado,"5 - May 28-June 2, 2020",452814,80548,13.9,2.5,3252451,"4,454,718"
Connecticut,"5 - May 28-June 2, 2020",354723,65498,19,3.3,1867125,"2,732,423"
Delaware,"5 - May 28-June 2, 2020",96027,19745,20.1,3.8,477228,"754,637"
District of Columbia,"5 - May 28-June 2, 2020",90830,26105,22.7,5.9,399500,"542,635"
Florida,"5 - May 28-June 2, 2020",3286386,375772,30.7,3.2,10711188,"17,085,385"
Georgia,"5 - May 28-June 2, 2020",1243454,165706,24,3.2,5178846,"7,955,983"
Hawaii,"5 - May 28-June 2, 2020",155307,24687,21.5,3.5,721068,"1,073,229"
Idaho,"5 - May 28-June 2, 2020",154320,30666,17.8,3.4,865424,"1,343,198"
Illinois,"5 - May 28-June 2, 2020",1651994,239372,28.8,3.6,5728500,"9,546,424"
Indiana,"5 - May 28-June 2, 2020",834625,160040,24.6,4.2,3394921,"5,015,550"
Iowa,"5 - May 28-June 2, 2020",218484,53741,14.9,3.7,1466980,"2,342,905"
Kansas,"5 - May 28-June 2, 2020",228109,45043,16.3,3.2,1396075,"2,140,957"
Kentucky,"5 - May 28-June 2, 2020",551571,101335,27,4.5,2040248,"3,344,102"
Louisiana,"5 - May 28-June 2, 2020",468053,79962,25.3,4.4,1850363,"3,431,432"
Maine,"5 - May 28-June 2, 2020",76902,24308,11.6,3.5,665226,"1,065,620"
Maryland,"5 - May 28-June 2, 2020",826384,101934,25.1,2.8,3288121,"4,586,920"
Massachusetts,"5 - May 28-June 2, 2020",739573,139377,19.5,3.7,3793639,"5,324,065"
Michigan,"5 - May 28-June 2, 2020",1179662,157316,24.7,2.9,4775058,"7,644,458"
Minnesota,"5 - May 28-June 2, 2020",370688,68925,13.3,2.3,2793927,"4,241,624"
Mississippi,"5 - May 28-June 2, 2020",388639,69385,33.3,5.2,1167399,"2,189,670"
