Area,Week,Number - Total Housing Insecurity (Missed Payment or Low Confidence),Margin of Error +/-,Percent - Percent Housing Insecurity (Missed Payment or Low Confidence),Percent Margin of Error +/-,Measure Universe,Total Population age 18+
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","5 - May 28-June 2, 2020",885751,122597,24.4,2.7,3636449,"4,998,796"
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","4 - May 21-26, 2020",775329,130579,25.8,4.2,3008625,"4,330,909"
"Boston-Cambridge-Newton, MA-NH Metro Area","4 - May 21-26, 2020",509636,100795,19.1,3.5,2669141,"3,846,938"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","4 - May 21-26, 2020",1349537,169662,29.8,3.4,4532979,"7,112,877"
"Dallas-Fort Worth-Arlington, TX Metro Area","4 - May 21-26, 2020",1577522,356356,32.5,6.6,4856943,"6,705,280"
"Detroit-Warren-Dearborn, MI Metro Area","4 - May 21-26, 2020",497055,138937,22.9,6,2171881,"3,665,878"
"Houston-The Woodlands-Sugar Land, TX Metro Area","4 - May 21-26, 2020",1448351,231141,39,5,3709669,"5,778,997"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","4 - May 21-26, 2020",2491920,395138,32.3,4.3,7722638,"10,512,305"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","4 - May 21-26, 2020",1343316,197607,43.8,5.6,3064194,"5,101,786"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","4 - May 21-26, 2020",3026534,337969,30,3.2,10091714,"14,760,726"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","4 - May 21-26, 2020",891682,152944,27.9,4.3,3193464,"4,734,016"
"Phoenix-Mesa-Chandler, AZ Metro Area","4 - May 21-26, 2020",591575,111287,22.1,3.7,2671789,"3,764,585"
"Riverside-San Bernardino-Ontario, CA Metro Area","4 - May 21-26, 2020",801903,198282,30.3,6.1,2650829,"4,260,691"
"San Francisco-Oakland-Berkeley, CA Metro Area","4 - May 21-26, 2020",665966,223231,25.7,6.7,2593546,"3,895,884"
"Seattle-Tacoma-Bellevue, WA Metro Area","4 - May 21-26, 2020",349677,91803,14.6,3.6,2395737,"3,324,775"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","4 - May 21-26, 2020",650037,129552,19.2,3.6,3389712,"4,756,931"
