#WEEK|GEO_ID|UNITS_TOTAL|JOBLOSS_TOTAL|JOBLOSS_MOE|JOBLOSS_RATE|JOBLOSS_RT_MOE|JOBLOSS_UNIV|LFNEXT_TOTAL|LFNEXT_MOE|LFNEXT_RATE|LFNEXT_RT_MOE|LFNEXT_UNIV|FOODSCARCE_TOTAL|FOODSCARCE_MOE|FOODSCARCE_RATE|FOODSCARCE_RT_MOE|FOODSCARCE_UNIV|HLTHDLY_TOTAL|HLTHDLY_MOE|HLTHDLY_RATE|HLTHDLY_RT_MOE|HLTHDLY_UNIV|HINSEC_1_TOTAL|HINSEC_1_MOE|HINSEC_1_RATE|HINSEC_1_RT_MOE|HINSEC_1_UNIV|EDMVD_TOTAL|EDMVD_MOE|EDMVD_RATE|EDMVD_RT_MOE|EDMVD_UNIV|TELEWORK_TOTAL|TELEWORK_MOE|TELEWORK_RATE|TELEWORK_RT_MOE|TELEWORK_UNIV|HINSEC_TOTAL|HINSEC_MOE|HINSEC_RATE|HINSEC_RT_MOE|HINSEC_UNIV|EVICTFOR_TOTAL|EVICTFOR_MOE|EVICTFOR_RATE|EVICTFOR_RT_MOE|EVICTFOR_UNIV|EXPENSE_TOTAL|EXPENSE_MOE|EXPENSE_RATE|EXPENSE_RT_MOE|EXPENSE_UNIV|SECONDED_TOTAL|SECONDED_MOE|SECONDED_RATE|SECONDED_RT_MOE|SECONDED_UNIV|VACCINE_TOTAL|VACCINE_MOE|VACCINE_RATE|VACCINE_RT_MOE|VACCINE_UNIV|GETVACC_TOTAL|GETVACC_MOE|GETVACC_RATE|GETVACC_RT_MOE|GETVACC_UNIV|TELEWORK_2_TOTAL|TELEWORK_2_MOE|TELEWORK_2_RATE|TELEWORK_2_RT_MOE|TELEWORK_2_UNIV|FOODASSIS_TOTAL|FOODASSIS_MOE|FOODASSIS_RATE|FOODASSIS_RT_MOE|FOODASSIS_UNIV|CHILDCARE_TOTAL|CHILDCARE_MOE|CHILDCARE_RATE|CHILDCARE_RT_MOE|CHILDCARE_UNIV|HHTELHLTH_TOTAL|HHTELHLTH_MOE|HHTELHLTH_RATE|HHTELHLTH_RT_MOE|HHTELHLTH_UNIV|CHILDTELE_TOTAL|CHILDTELE_MOE|CHILDTELE_RATE|CHILDTELE_RT_MOE|CHILDTELE_UNIV|PLNDTRIP_TOTAL|PLNDTRIP_MOE|PLNDTRIP_RATE|PLNDTRIP_RT_MOE|PLNDTRIP_UNIV|CHILDCARE_2_TOTAL|CHILDCARE_2_MOE|CHILDCARE_2_RATE|CHILDCARE_2_RT_MOE|CHILDCARE_2_UNIV|WACTIVITY_TOTAL|WACTIVITY_MOE|WACTIVITY_RATE|WACTIVITY_RT_MOE|WACTIVITY_UNIV|FOODFORCHLD_TOTAL|FOODFORCHLD_MOE|FOODFORCHLD_RATE|FOODFORCHLD_RT_MOE|FOODFORCHLD_UNIV|ENERGYBILL_TOTAL|ENERGYBILL_MOE|ENERGYBILL_RATE|ENERGYBILL_RT_MOE|ENERGYBILL_UNIV|CTCUSE_TOTAL|CTCUSE_MOE|CTCUSE_RATE|CTCUSE_RT_MOE|CTCUSE_UNIV|CTCUSENEW_TOTAL|CTCUSENEW_MOE|CTCUSENEW_RATE|CTCUSENEW_RT_MOE|CTCUSENEW_UNIV|LONGCOVID_1_TOTAL|LONGCOVID_1_MOE|LONGCOVID_1_RATE|LONGCOVID_1_RT_MOE|LONGCOVID_1_UNIV|PRICEINCR_TOTAL|PRICEINCR_MOE|PRICEINCR_RATE|PRICEINCR_RT_MOE|PRICEINCR_UNIV|PRICEWORRY_TOTAL|PRICEWORRY_MOE|PRICEWORRY_RATE|PRICEWORRY_RT_MOE|PRICEWORRY_UNIV|GASIMPACT_TOTAL|GASIMPACT_MOE|GASIMPACT_RATE|GASIMPACT_RT_MOE|GASIMPACT_UNIV|FOODFORCHLD1_TOTAL|FOODFORCHLD1_MOE|FOODFORCHLD1_RATE|FOODFORCHLD1_RT_MOE|FOODFORCHLD1_UNIV|DISPLACED_TOTAL|DISPLACED_MOE|DISPLACED_RATE|DISPLACED_RT_MOE|DISPLACED_UNIV|DISPLACEDTIME_TOTAL|DISPLACEDTIME_MOE|DISPLACEDTIME_RATE|DISPLACEDTIME_RT_MOE|DISPLACEDTIME_UNIV|COL_START_DATE|COL_END_DATE|SURVEY_YEAR|YR_WEEK_NUM
63|0400000US12|17896443|||||||||||1865768|263950|12.0|1.8|15550942||||||||||||||||||||||||||208355|84913|26.7|10.7|780377|7415702|465031|46.5|2.7|15932303|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2857133|308637|20.7|2.2|13789031|||||||||||2728360|389185|29.2|3.6|9356775|14337266|411594|89.2|1.4|16070817|13230091|426617|82.7|1.9|15995983|7589988|476547|55.7|2.8|13619114|2062595|288432|44.0|4.1|4685725|400794|92760|2.7|0.6|14818690|71142|37860|18.0|9.6|395615|October 18, 2023|October 30, 2023|2023|11
63|0400000US13|8284651|||||||||||1178123|210757|16.9|3.0|6958497||||||||||||||||||||||||||77513|40225|20.2|12.0|382995|3268742|213067|45.2|2.6|7227617|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1465617|219619|24.8|3.5|5921359|||||||||||983641|136309|24.0|3.6|4094942|6582683|184766|89.4|1.5|7360113|6175610|218332|85.1|2.0|7252721|3304006|219274|56.5|2.9|5844055|916824|178110|35.3|4.9|2596917|45873|26879|0.7|0.4|6521618|9331|13606|21.1|27.3|44130|October 18, 2023|October 30, 2023|2023|11
63|0400000US15|1104070|||||||||||132667|39905|13.1|3.9|1014493||||||||||||||||||||||||||19658|23043|29.6|27.9|66434|367210|41710|35.9|4.1|1021852|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||137146|35026|15.5|3.8|887191|||||||||||129694|37754|22.2|6.1|583695|903294|34538|87.0|2.9|1038597|846369|33794|82.0|2.6|1031680|454717|45732|51.6|4.5|881970|106820|29246|28.7|6.8|371853|25226|14274|2.7|1.5|947124|14242|9431|56.5|30.1|25226|October 18, 2023|October 30, 2023|2023|11
63|0400000US16|1463645|||||||||||157665|34862|11.7|2.5|1345360||||||||||||||||||||||||||15004|7642|32.3|13.4|46519|522479|42291|38.3|3.0|1365098|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||248388|35476|20.5|2.6|1210799|||||||||||222971|32665|28.3|3.6|788597|1218833|31870|88.6|1.8|1376135|1174798|38712|85.9|2.2|1366877|723381|42226|60.4|2.8|1197287|119241|20374|24.3|3.9|491183|11399|10796|0.9|0.8|1291150|4378|4620|38.4|14.6|11399|October 18, 2023|October 30, 2023|2023|11
63|0400000US17|9564566|||||||||||1216788|164126|14.3|1.8|8481901||||||||||||||||||||||||||108014|56798|22.9|11.5|471753|3415686|252826|39.3|2.6|8697528|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1685656|200507|23.7|2.7|7104357|||||||||||1178477|172135|23.9|3.2|4936962|7830143|182906|87.0|1.8|9003509|7155068|261196|81.2|1.9|8813485|3477686|225816|49.6|2.8|7009340|1274682|206705|42.1|5.2|3024741|163180|126121|2.1|1.6|7894341|96880|110707|62.1|40.9|156112|October 18, 2023|October 30, 2023|2023|11
63|0400000US18|5124472|||||||||||550886|98784|12.3|2.1|4485551||||||||||||||||||||||||||86348|35717|47.9|14.9|180273|1870277|143483|40.8|2.9|4588654|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||694137|91075|17.9|2.2|3875797|||||||||||759026|102342|30.3|3.6|2504437|4161890|98403|88.2|1.7|4716612|3740551|115675|80.8|2.1|4627789|1968257|133695|51.2|2.9|3844426|525344|86249|33.4|5.4|1572306|58651|50345|1.4|1.2|4174957|43213|49011|73.7|33.2|58651|October 18, 2023|October 30, 2023|2023|11
63|0400000US19|2391994|||||||||||229586|64903|10.4|3.0|2205646||||||||||||||||||||||||||11031|6864|14.8|9.2|74432|841876|64745|37.7|2.8|2231824|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||355682|55672|18.2|2.7|1956425|||||||||||338104|54479|28.5|4.1|1187891|1933985|55973|85.3|2.2|2267248|1801425|54566|80.5|2.2|2238708|1078608|72609|55.5|3.2|1942926|249506|46255|31.6|5.5|789226|14066|13117|0.7|0.6|2096175|10998|12474|78.2|30.2|14066|October 18, 2023|October 30, 2023|2023|11
63|0400000US20|2171506|||||||||||239405|43850|12.3|2.2|1950288||||||||||||||||||||||||||13058|7771|19.9|12.3|65584|762615|57596|38.4|2.8|1985583|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||318937|52611|18.5|2.8|1727692|||||||||||336875|48092|27.7|3.5|1215646|1748581|51326|86.8|2.0|2014456|1620089|54437|81.4|2.5|1990668|904040|66874|53.2|3.4|1700517|224229|39477|31.8|5.2|704208|3821|3831|0.2|0.2|1827917|||||3821|October 18, 2023|October 30, 2023|2023|11
63|0400000US21|3405196|||||||||||357753|87963|12.1|2.9|2953066||||||||||||||||||||||||||51278|24930|43.3|16.8|118376|1268776|124750|41.8|4.0|3035737|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||408397|81460|15.9|3.1|2567509|||||||||||509531|68847|29.9|3.5|1701927|2688225|79679|86.8|2.2|3098006|2624225|79764|85.6|2.0|3064518|1436415|107870|56.3|3.7|2550725|609845|73551|55.4|5.4|1101058|45434|28122|1.6|1.0|2776461|18625|12181|42.1|30.6|44234|October 18, 2023|October 30, 2023|2023|11
63|0400000US22|3394886|||||||||||425096|80935|14.7|2.7|2899948||||||||||||||||||||||||||109773|88226|49.6|24.7|221231|1402447|149975|46.5|4.4|3016057|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||778027|120752|31.4|4.4|2475021|||||||||||459991|82384|26.5|4.5|1732829|2741026|96598|88.4|2.3|3102188|2573545|112155|84.9|3.0|3030703|1336615|122449|54.8|4.2|2439879|544689|88973|53.1|6.8|1026086|166234|51779|6.1|1.9|2723893|54964|27888|33.1|14.0|166234|October 18, 2023|October 30, 2023|2023|11
